PD Grade,Seniority,LT Seniority,Employee Level,CPH_1,CPH_2,CPH_3,CPH_4,CPH_5
A0,No,No,6,Consulting Position,AC/SAC,AC,AC - 1Y,A0
A1,No,No,6,Consulting Position,AC/SAC,AC,AC - 1Y,A1
A2,No,No,6,Consulting Position,AC/SAC,AC,AC - 1Y,A2
A3,No,No,6,Consulting Position,AC/SAC,AC,AC - 2Y,A3
A4,No,No,6,Consulting Position,AC/SAC,AC,AC - 2Y,A4
A5,No,No,6,Consulting Position,AC/SAC,SAC,SAC,A5
A6,No,No,6,Consulting Position,AC/SAC,SAC,SAC,A6
A7,No,No,6,Consulting Position,AC/SAC,SAC,SAC,A7
A8,No,No,6,Consulting Position,AC/SAC,SAC,SAC,A8
AS3,No,No,6,Consulting Position,AC/SAC,AC,AC - 2Y,AS3
AS5,No,No,6,Consulting Position,AC/SAC,SAC,SAC,AS5
AS6,No,No,6,Consulting Position,AC/SAC,SAC,SAC,AS6
AS7,No,No,6,Consulting Position,AC/SAC,SAC,SAC,AS7
B1,No,No,2,Other,Other,Other,Other,Other
B2,No,No,4,Other,Other,Other,Other,Other
B3,No,No,6,Other,Other,Other,Other,Other
B3A,No,No,4,Other,Other,Other,Other,Other
B3B,No,No,4,Other,Other,Other,Other,Other
B4,No,No,6,Other,Other,Other,Other,Other
B5,No,No,6,Other,Other,Other,Other,Other
B6,No,No,8,Other,Other,Other,Other,Other
B7,No,No,12,Other,Other,Other,Other,Other
B8,No,No,14,Other,Other,Other,Other,Other
BC10,Yes,No,10,Other,Other,Other,Other,Other
BC11,Yes,No,11,Other,Other,Other,Other,Other
BC12,Yes,Vice President,12,Other,Other,Other,Other,Other
BC14,Yes,Expert Partner / Executive VP,14,Other,Other,Other,Other,Other
BC4,No,No,4,Other,Other,Other,Other,Other
BC6,No,No,6,Other,Other,Other,Other,Other
BC8,No,No,8,Other,Other,Other,Other,Other
BC9,No,No,9,Other,Other,Other,Other,Other
BE10,Yes,No,10,Other,Other,Other,Other,Other
BE11,Yes,No,11,Other,Other,Other,Other,Other
BE12,Yes,Vice President,12,Other,Other,Other,Other,Other
BE14,Yes,Expert Partner / Executive VP,14,Other,Other,Other,Other,Other
BE6,No,No,6,Other,Other,Other,Other,Other
BE8,No,No,8,Other,Other,Other,Other,Other
BE9,No,No,9,Other,Other,Other,Other,Other
BN10,Yes,No,10,Other,Other,Other,Other,Other
BN11,Yes,No,11,Other,Other,Other,Other,Other
BN12,Yes,Vice President,12,Other,Other,Other,Other,Other
BN14,Yes,Expert Partner / Executive VP,14,Other,Other,Other,Other,Other
BN9,No,No,9,Other,Other,Other,Other,Other
C0,No,No,8,Consulting Position,C/M,Consultant,C - 1Y,C0
C1,No,No,8,Consulting Position,C/M,Consultant,C - 1Y,C1
C2,No,No,8,Consulting Position,C/M,Consultant,C - 1Y,C2
C3,No,No,8,Consulting Position,C/M,Consultant,C - 2Y,C3
C4,No,No,8,Consulting Position,C/M,Consultant,C - 2Y,C4
C5,No,No,9,Consulting Position,C/M,Manager,M,C5
C6,No,No,9,Consulting Position,C/M,Manager,M,C6
C7,No,No,9,Consulting Position,C/M,Manager,M,C7
C8,No,No,9,Consulting Position,C/M,Manager,M,C8
C9,No,No,10,Consulting Position,C/M,Manager,M,C9
CT10,Yes,No,10,Other,Other,Other,Other,Other
CT11,Yes,No,11,Other,Other,Other,Other,Other
CT12,Yes,Vice President,12,Other,Other,Other,Other,Other
CT14,Yes,Expert Partner / Executive VP,14,Other,Other,Other,Other,Other
CT6,No,No,6,Other,Other,Other,Other,Other
CT8,No,No,8,Other,Other,Other,Other,Other
CT9,No,No,9,Other,Other,Other,Other,Other
D1,No,No,2,Other,Other,Other,Other,Other
D2,No,No,4,Other,Other,Other,Other,Other
D3,No,No,6,Other,Other,Other,Other,Other
D4,No,No,6,Other,Other,Other,Other,Other
D5,No,No,8,Other,Other,Other,Other,Other
D6,No,No,10,Other,Other,Other,Other,Other
D7,No,No,12,Other,Other,Other,Other,Other
EC6,No,No,6,Consulting Position,C/M,Manager,M,EC6
EC8,No,No,8,Consulting Position,C/M,Manager,M,EC8
EC9,No,No,9,Consulting Position,C/M,Manager,M,EC9
EM1,Yes,No,10,Consulting Position,SMAP,SM,SM - 1Y,EM1
EM2,Yes,No,10,Consulting Position,SMAP,SM,SM - 1Y,EM2
EM3,Yes,No,10,Consulting Position,SMAP,SM,SM - 2Y+,EM3
EM4,Yes,No,10,Consulting Position,SMAP,SM,SM - 2Y+,EM4
EM5,Yes,No,10,Consulting Position,SMAP,SM,SM - 2Y+,EM5
EM6,Yes,No,11,Consulting Position,SMAP,AP,AP - 1Y,EM6
EM7,Yes,No,11,Consulting Position,SMAP,AP,AP - 1Y,EM7
EM8,Yes,No,11,Consulting Position,SMAP,AP,AP - 2Y+,EM8
